ルマン24時間耐久レース,ルマンニジュウヨジカンタイキュウレース
昨日インド,キノウインド
シンガポール経由,シンガポールケイユ
夕方帰国,ユウガタキコク
International,インテルナショナル
プログラム委員長,プログラムイインチョウ
委員長職,イインチョウショク
体育会系サークルバイト,タイイクカイケイサークルバイト
バイト重視,バイトジュウシ
新卒採用面接,シンソツサイヨウメンセツ
themiddle,ザミドル
middleclass,ミドルクラス
国立大学改革,コクリツダイガクカイカク
改革亡国論,カイカクボウコクロン
文系学部廃止,ブンケイガクブハイシ
効果的,コウカテキ
発表者,ハッピョウシャ
者本人,シャホンニン
本郷三丁目,ホンゴウサンチョウメ
三丁目交差点,サンチョウメコウサテン
藤むら,フジムラ
藤むら,フジムラ
一番びっくり,イチバンビックリ
研究者,ケンキュウシャ
海外交流,カイガイコウリュウ
日本科学,ニッポンカガク
科学界,カガクカイ
孤独さ,コドクサ
めちゃくちゃ簡単,メチャクチャカンタン
長文日記,チョウブンニッキ
PCI Expressswitch,ピーシーアイエクスプレススイッチ
低い法人,テイイホウジン
法人税率,ホウジンゼイリツ
2015年5月28日,ニセンジュウゴネンゴガツニジュウハチニチ
シンガポール籍,シンガポールセキ
法人税率,ホウジンゼイリツ
法人税率,ホウジンゼイリツ
Broadcomfor,ブロードコムフォー
二度目,ニドメ
低いヘリカルスキャン,テイイヘリカルスキャン
ヘリカルスキャンテープ,ヘリカルスキャンテープ
Golden,ゴールドイーエヌ
toget,トゥゲット
CSCCluster,シーエスシークラスター
GPUvia,ジーピーユービア
解決策,カイケツサク
研究者,ケンキュウシャ
者側,シャガワ
松岡説,マツオカセツ
外部資金,ガイブシキン
資金エージェント,シキンエージェント
研究管理者,ケンキュウカンリシャ
管理者数,カンリシャスウ
大幅削減,オオハバサクゲン
確定調査,カクテイチョウサ
調査方式,チョウサホウシキ
会計検査,カイケイケンサ
検査方式,ケンサホウシキ
研究者,ケンキュウシャ
メモリ一つ,メモリヒトツ
一つ一つ,ヒトツヒトツ
過剰管理,カジョウカンリ
大学常勤,ダイガクジョウキン
常勤教員,ジョウキンキョウイン
最適戦略,サイテキセンリャク
対外評価,タイガイヒョウカ
外部資金,ガイブシキン
会議参加,カイギサンカ
大学院学生,ダイガクインガクセイ
オーバーコンプライアンス,オーバーコンプライアンス
出向者,シュッコウシャ
研究管理,ケンキュウカンリ
研究者,ケンキュウシャ
確定調査,カクテイチョウサ
オーバーコンプライアンス,オーバーコンプライアンス
豊田先生,トヨダセンセイ
…。日本,サイレンスニッポン
研究環境,ケンキュウカンキョウ
旧帝大等,キュウテイダイトウ
主要大学,シュヨウダイガク
東欧グループ,トウオウグループ
あたり極めて,アタリキメテ
極めて合理的,キメテゴウリテキ
ドル以下,ドルイカ
研究向け,ケンキュウムケ
建て替え出費,タテカエシュッピ
申請時,シンセイジ
平木先生,ヒラキセンセイ
創造性,ソウゾウセイ
高い活動,コウイカツドウ
根本原因,コンポンゲンイン
外部資金,ガイブシキン
業務計画,ギョウムケイカク
計画書,ケイカクショ
すべてクレーム,スベテクレーム
計画書,ケイカクショ
評価体制,ヒョウカタイセイ
確定調査,カクテイチョウサ
計画書,ケイカクショ
最近実施,サイキンジッシ
某省,ボウショウ
省プロジェクト,ショウプロジェクト
外部資金,ガイブシキン
資金団体,シキンダンタイ
オーバーコンプライアンス,オーバーコンプライアンス
硬直化,コウチョクカ
調整費,チョウセイヒ
調整費,チョウセイヒ
調整費,チョウセイヒ
状況どころ,ジョウキョウドコロ
硬直化,コウチョクカ
中間試験開始,チュウカンシケンカイシ
開始前,カイシマエ
ナッシュ氏,ナッシュシ
３０,サンゼロ
００,ゼロゼロ
０名,ゼロメイ
名超,メイチョウ
印象的,インショウテキ
創造性,ソウゾウセイ
bythe,ビーワイザ
thehallmark,ザホールマーク
著者別刷り,チョシャベツヅリ
コア数,コアスウ
数SKU,スウエスケーユー
ノードTDP,ノードティーディーピー
OmniPath,オムニパス
北森瓦版,キタモリカワラバン
Xeonプラットフォーム,ジーオンプラットフォーム
追加規格,ツイカキカク
日本ならでは,ニッポンナラデハ
お家芸的,オイエゲイテキ
的伝統,テキデントウ
伝統技術,デントウギジュツ
メモリバンド,メモリバンド
バンド幅,バンドハバ
サポートモデル,サポートモデル
BF比,ビーエフヒ
速度比,ソクドヒ
評価項目,ヒョウカコウモク
事前評価,ジゼンヒョウカ
後処理用,アトショリヨウ
本格稼働,ホンカクカドウ
実効性能,ジッコウセイノウ
細胞研究所,サイボウケンキュウジョ
９割,キュウワリ
割有期雇用,ワリユウキコヨウ
山中教授,サンチュウキョウジュ
WESTさん,ウエストサン
currywas,カリーワイドエリアサーチ
wasno.1,ワイドエリアサーチナンバーワン
no.1favorite,ナンバーワンフェイバリット
favoritefood,フェイバリットゴハン
foodfor,ゴハンフォー
forJapanese,フォージャパニーズ
Japanesekids,ジャパニーズキッズ
sotoday,ソートゥデイ
withmore,ウィズモア
朝昼,アサヒル
昼晩,ヒルバン
晩カレー,バンカレー
休息時,キュウソクジ
カレー味,カレーミ
カレー党,カレートウ
Indiafor,インディアフォー
curryfor,カリーフォー
forbreakfast,フォーブレックファスト
anddinner,アンドディナー
出荷開始,シュッカカイシ
給与システム,キュウヨシステム
男女格差,ダンジョカクサ
格差撤廃,カクサテッパイ
日本型雇用,ニホンガタコヨウ
雇用システム,コヨウシステム
適確,テキカタシ
９割,キュウワリ
雇われ人,ヤトイワレヒト
andOpenMP,アンドオープンエムピー
OpenMPPerforma,オープンエムピーパフォーマ
ismore,イズモア
morein,モアイン
inthe,インザ
toexploit,トゥエクスプロイト
Itis,イットイズ
isa,イズアール
inthat,インザット
thatit,ザットイット
itis,イットイズ
isthe,イズザ
thesame,ザサメ
Buildingever,ビルディングエバー
islike,アイエスライク
likea,ライクアール
afactory,アールファクトリー
inIT,インアイティー
ITis,アイティーイズ
meanto,ミーントゥ
tothe end,トゥジエンド
batterylife,バッテリーライフ
IDCbills,アイディーシービルズ
itgets,アイティーゲッツ
classiccapitalism,クラシックキャピタリズム
anydetails,エニーディテールズ
withdetail,ウィズディテール
detailed,ディテールイーディー
Techfor,テックフォー
MIOPS,メガアイオーピーエス
Newpost,ニューポスト
地球科学スーパーコンピュータ,チキュウカガクスーパーコンピュータ
chiphas,チップハス
hasmore,ハスモア
andperforma,アンドパフォーマ
itsarc,アイティエスアーク
arcis,アークイズ
isbtw,イズバイデァウェイ
btwintel,バイデァウェイインテル
GPU.,ゲーペーユー
TheFT,ザエフティ
usedin,ユーズドイン
inTH,インティーエッチ
Pversion,ピーバージョン
isa,アイエスアール
SPARCchip,スパークチップ
theFT,ザエフティ
itis,イットイズ
onSPARC,オンスパーク
SPARCarc,スパークアーク
arch.,アークエイチ
ifit,イフイット
asthe,アズザ
theslide,ザスライド
slidesays,スライドセイズ
saysif,セイズイフ
ifit,イフイット
PFpeak,ピーエフピーク
peakit,ピークイット
itwill,イットウィル
saidthat,サイードザット
PFat,ピーエフエーティー
thatis,ザットイズ
isthe,イズザ
meannext,ミーンネクスト
nextyear,ネクストイヤー
Buildinga,ビルディングアール
w/current,ダブリュースラッシュカレント
for2nd,フォーセカンド
saidout,サイードアウト
科学技術計算,カガクギジュツケイサン
Javaアプリケーション,ジャバアプリケーション
並列処理,ヘイレツショリ
並べ替え等,ナラベカエトウ
分析処理,ブンセキショリ
JPHPC,ジェイピーエイチピーシー
w/other,ダブリュースラッシュアザー
JapaneseSC,ジャパニーズエスシィ
SCare,エスシィアレ
areout,アレアウト
material,マテリアリットル
arestill,アレスティル
expensive,イーエックスペンシブ
pensiveper,ペンシブピーイーアール
persocket,ピーイーアールソケット
tobring,トゥブリング
thatper,ザットピーイーアール
persocket,ピーイーアールソケット
canrealize,カンリアライズ
realizean,リアライズアン
machinein,マシンイン
yearfor,イヤーフォー
yearop.,イヤーオーパス
PFHP,ピーエフエイチピー
HPApollo,エイチピーアポロ
ApolloSC,アポロエスシィ
SCin,エスシィイン
inPoland,インポーランド
socketsuper,ソケットスーパー
toJoin,トゥジョイン
HPCPeople,エイチピーシーピープル
Peopleon,ピープルオン
onthe,オンザ
theMove,ザムーブ
MayEdition,メイエディション
Editionvia,エディションビア
toadd,トゥアデデ
addmove,アデデムーブ
moveto,ムーブトゥ
toIBM,トゥアイビーエム
doyou,ドーユウ
youlike,ユウライク
likethat,ライクザット
HPCin,エイチピーシーイン
Designing,デザインアイエヌジー
ingprint,アイエヌジープリント
printable,プリントエイブル
ablecars,エイブルカーズ
carswith,カーズウィズ
withHPC,ウィズエイチピーシー
can dowith,キャンドゥウィズ
withCoral,ウィズコーラル
Coraland,コーラルアンド
IBMPlatform,アイビーエムプラットフォーム
andWhy,アンドホワイ
byin,ビーワイイン
お笑いタレント情報番組,オワライタレントジョウホウバングミ
情報番組全盛,ジョウホウバングミゼンセイ
アポロは月,アポロハツキ
人が皆無,ジンガカイム
アポロは月,アポロハツキ
陰謀論者,インボウロンシャ
陰謀論言説,インボウロンゲンセツ
理事江川,リジエガワ
江川さん,エガワサン
年先,ネンサキ
場凌ぎ,バシノギ
科学技術立国,カガクギジュツリッコク
博士進学,ハカセシンガク
進学者,シンガクシャ
集積電子工学,シュウセキデンシコウガク
講義資料,コウギシリョウ
紙代,カミダイ
印刷費,インサツヒ
無料供与,ムリョウキョウヨ
1977年8月,センキュウヒャクナナジュウナナネンハチガツ
8月号,ハチガツゴウ
月刊RAM,ゲッカンラム
1978年2月,センキュウヒャクナナジュウハチネンニガツ
2月号,ニガツゴウ
FLOPPYROM,フロッピーロム
4KBASIC,フォーケイベーシック
BASIC月刊,ベーシックゲッカン
月刊ASCII,ゲッカンアスキー
ASCII付録,アスキーフロク
INTERFACEAGE,インターフェイスエージーイー
forthe,フォーザ
商業学術雑誌,ショウギョウガクジュツザッシ
池上さん,イケガミサン
QT池上彰,キューティイケガミアキラ
池上彰さん,イケガミアキラサン
池上話法,イケガミワホウ
ダウンロード可能,ダウンロードカノウ
情報系,ジョウホウケイ
学術論文,ガクジュツロンブン
査読刊行,サドクカンコウ
査読付き,サドクツキ
付き国際,ツキコクサイ
国際会議,コクサイカイギ
会議モデル,カイギモデル
国際会議,コクサイカイギ
商業性,ショウギョウセイ
全体運営,ゼンタイウンエイ
論文選択,ロンブンセンタク
商業性,ショウギョウセイ
一切ご法度,イッサイゴハット
学術論文,ガクジュツロンブン
流通手段,リュウツウシュダン
商業刊行,ショウギョウカンコウ
刊行物,カンコウブツ
流通ルート,リュウツウルート
長い目,ナガイメ
公的資金補助,コウテキシキンホジョ
プレプリント文化,プレプリントブンカ
投稿料,トウコウリョウ
京大教員,キョウダイキョウイン
原則ネット,ゲンソクネット
効果期待,コウカキタイ
京大教員,キョウダイキョウイン
原則ネット,ゲンソクネット
効果期待,コウカキタイ
最終学歴,サイシュウガクレキ
学歴修士,ガクレキシュウシ
修士以上,シュウシイジョウ
以上比率,イジョウヒリツ
都市パロアルト,トシパロアルト
シリコンバレー都市,シリコンバレートシ
ランク入り,ランクイリ
WhyJapanese,ホワイジャパニーズ
コンピュータスキル,コンピュータスキル
世界的,セカイテキ
コンピュータスキル,コンピュータスキル
パソコン利用,パソコンリヨウ
利用度,リヨウド
コンピュータスキル,コンピュータスキル
何年,ナンネン
エンジン異常,エンジンイジョウ
isa,アイエスアール
amess,アールメス
ProgressM26,プログレスエヌジーシーロクセンロッピャクキュウジュウヨン
M26M,エヌジーシーロクセンロッピャクキュウジュウヨンメガ
Mat,メガアット
atthe,アットザ
toboost,トゥブースト
boostthe,ブーストザ
thestation,ザアットステーション
stationas,アットステーションアズ
toa,トゥアール
toignite,トゥイグナイト
igniteits,イグナイトアイティエス
itsmotors,アイティエスモーターズ
下村文科相,シモムラモンカショウ
高大接続,コウダイセツゾク
接続改革,セツゾクカイカク
具体的,グタイテキ
制度設計,セイドセッケイ
具体像,グタイゾウ
tox86,トゥエックスハチロク
Geminiwas,ジェミニワイドエリアサーチ
toreach,トゥリーチ
reachLEO,リーチエルイーオー
ApolloLM,アポロエルエム
LMAPS,エルエムアーペーエス
APSwas,アーペーエスワイドエリアサーチ
formankind,フォーマンカインド
nextleap,ネクストリープ
spaceis,スペースイズ
isthe,イズザ
Interfaxnews,インタファクスニュース
採用評価,サイヨウヒョウカ
定量指標,テイリョウシヒョウ
定量指標,テイリョウシヒョウ
100%中身,ヒャクパーセントナカミ
中身ゼロ,ナカミゼロ
ゼロ実態,ゼロジッタイ
指標ハック,シヒョウハック
院生複数,インセイフクスウ
捏造改竄,ネツゾウカイザン
理工系人材育成,リコウケイジンザイイクセイ
人口減少,ジンコウゲンショウ
理工系人材,リコウケイジンザイ
在学中,ザイガクチュウ
中インターン,チュウインターン
情報系,ジョウホウケイ
十分可能,ジュウブンカノウ
喫茶店経営,キッサテンケイエイ
大学入学,ダイガクニュウガク
当時TOEFL,トウジトーフル
旧帝大卒,キュウテイダイソツ
金融系,キンユウケイ
IT企業,アイティーキギョウ
最低ライン,サイテイライン
最低ライン,サイテイライン
就職難易度,シュウショクナンイド
新卒入社,シンソツニュウシャ
卒業後,ソツギョウゴ
後２,ゴニ
２年,ニネン
ビザ無し,ビザナシ
飛躍的,ヒヤクテキ
大手金融機関,オオテキンユウキカン
テクノロジー本部,テクノロジーホンブ
IT企業,アイティーキギョウ
２番目,ニバンメ
WhyMercedes-Benz,ホワイメルセデスベンツ
HPCvia,エイチピーシービア
aboutthe,アバウトザ
thetransition,ザトランジション
HPCat,エイチピーシーエーティー
atnational,エーティーナショナル
歳息子,サイムスコ
ネットリテラシー教育,ネットリテラシーキョウイク
Togetterまとめ,トゥギャッターマトメ
jpさん,ジェーピーサン
onthe,オンザ
theConverge,ザコンヴァージ
HPCand,エイチピーシーアンド
ispresent,イズプレゼント
presenting,プレゼントアイエヌジー
inthe,インザ
coreprogram,コアプログラム
programming,プログラムミング
mingas,ミングアズ
BlueWaters,ブルーウォーターズ
HPCvia,エイチピーシービア
meanCUDA,ミーンクーダ
otherlanguage,アザーセンゴヒャクサンジュウゴマンロッピャクロクジュウゴゼロゼロキュウナナマンハチゴゼロナナ
billionchip,ビリオンチップ
chipCPU,チップシーピーユー
GPUecosystem,ジーピーユーエコシステム
genprogramme,ゲンプログラム
with this,ウイズティーヒズ
hisclass,ヒズクラス
HPCand,エイチピーシーアンド
spintorque,スピントルク
Theconverge,ザコンヴァージ
physicsand,フィジクスアンド
andend,アンドエンド
〇〇,レイレイ
〇省,レイショウ
秘密情報,ヒミツジョウホウ
人権規約,ジンケンキヤク
漸進的,ゼンシンテキ
的無償化,テキムショウカ
全く無視,ゼンクムシ
RT日本,アールティーニッポン
１９,イチキュウ
９９,キュウキュウ
９２,キュウニ
２年,ニネン
２０,ニゼロ
０１,ゼロイチ
１５,イチゴ
５年,ゴネン
４％,ヨンパーセント
４２,ヨンニ
２％,ニパーセント
財政審,ザイセイシン
６０,ロクゼロ
０％,ゼロパーセント
自らブラック,ミズカラブラック
ブラック労働条件,ブラックロウドウジョウケン
昨日夜,キノウヨル
ミーティング6つ,ミーティングムッツ
週連続,シュウレンゾク
研究者,ケンキュウシャ
科学技術立国,カガクギジュツリッコク
人口当たり,ジンコウアタリ
当たり論文,アタリロンブン
論文数,ロンブンスウ
位転落,イテンラク
知的中間層,チテキチュウカンソウ
社会格差,シャカイカクサ
溜飲下げ,リュウインサゲ
下げ報道,サゲホウドウ
新卒採用イベント,シンソツサイヨウイベント
期目,キメ
若い人たち,ワカイヒトタチ
第二新卒的,ダイニシンソツテキ
得意技,トクイワザ
中途市場,チュウトシジョウ
政策的,セイサクテキ
的科学,テキカガク
科学投資,カガクトウシ
全て成功,スベテセイコウ
すべて成功,スベテセイコウ
集中投資,シュウチュウトウシ
機構改革,キコウカイカク
技術的,ギジュツテキ
的提示,テキテイジ
リスク評価,リスクヒョウカ
表層的,ヒョウソウテキ
結局前,ケッキョクマエ
年ごと,ネンゴト
ITエンジニア,アイティーエンジニア
平均契約,ヘイキンケイヤク
契約年数,ケイヤクネンスウ
将来像,ショウライゾウ
flowersis,フラワーズイズ
flowersto,フラワーズトゥ
tobloom,トゥブルーム
justa,ジャストアール
仲池,ナカチ
論文学会,ロンブンガッカイ
学会プログラム,ガッカイプログラム
大切さ,タイセツサ
flowersbloom,フラワーズブルーム
熟練度,ジュクレンド
後継者問題,コウケイシャモンダイ
良記事,リョウキジ
市場破壊,シジョウハカイ
軌道上,キドウジョウ
容量キャパシタ,ヨウリョウキャパシタ
リップル除去,リップルジョキョ
大量生産可能,タイリョウセイサンカノウ
容量バイパスコンデンサ,ヨウリョウバイパスコンデンサ
周期変動,シュウキヘンドウ
変動除去,ヘンドウジョキョ
発電側,ハツデンガワ
受電側,ジュデンガワ
資本主義社会,シホンシュギシャカイ
思い通り,オモイドオリ
創造行為,ソウゾウコウイ
国プロ,クニプロ
研究費,ケンキュウヒ
創造的,ソウゾウテキ
的仕事,テキシゴト
これ納得,コレナットク
官と民,カントミン
科学技術系,カガクギジュツケイ
要素技術,ヨウソギジュツ
全てオールジャパン,スベテオールジャパン
コンピューターチップ,コンピューターチップ
舶来技術,ハクライギジュツ
日本独自,ニッポンドクジ
なに他国,ナニタコク
申請書,シンセイショ
報告会,ホウコクカイ
先生それ,センセイソレ
IT分野,アイティーブンヤ
日本独自,ニッポンドクジ
独自技術,ドクジギジュツ
European,ユーロップアン
産業方面,サンギョウホウメン
画像付き,ガゾウツキ
日本独自,ニッポンドクジ
日本独自,ニッポンドクジ
Theproof,ザプルーフ
proofem,プルーフイーエム
embodies,イーエムボディーズ
bodiesthe,ボディーズザ
thebeauty,ザビューティー
asthe the,アズザザ
イグノーベル賞受賞者,イグノーベルショウジュショウシャ
論文公開,ロンブンコウカイ
オープンアクセス方針,オープンアクセスホウシン
学術論文,ガクジュツロンブン
論文等,ロンブントウ
研究成果,ケンキュウセイカ
京都大学,キョウトダイガク
学学術,ガクガクジュツ
学術情報,ガクジュツジョウホウ
情報リポジトリ,ジョウホウリポジトリ
インターネット上,インターネットジョウ
原則公開,ゲンソクコウカイ
年度中,ネンドチュウ
Leapsand,リープスアンド
山中教授,サンチュウキョウジュ
医療応用,イリョウオウヨウ
０１,ゼロイチ
発想講座,ハッソウコウザ
創造力,ソウゾウリョク
withjust one,ウィズジャストワン
onevector,ワンベクター
Willthe,ウィルザ
国立研究開発法人産業技術総合研究所,コクリツケンキュウカイハツホウジンサンギョウギジュツソウゴウケンキュウジョ
人工知能研究,ジンコウチノウケンキュウ
研究センター,ケンキュウセンター
人工知能研究,ジンコウチノウケンキュウ
プラットフォーム形成,プラットフォームケイセイ
研究費,ケンキュウヒ
研究者,ケンキュウシャ
ANSYSLeaps,アンシスリープス
HPCvia,エイチピーシービア
platformnet,プラットフォームエヌイーティー
itcan,アイティーカン
onperforma,オンパフォーマ
theSpaceX,ザスペースエックス
SpaceXMars,スペースエックスマーズ
MarsRocket,マーズロケット
RocketEngine,ロケットエンジン
Enginevia,エンジンビア
Mostpeople,モストピープル
inthe,インザ
perse,ピーイーアールエスイー
asif,アズイフ
awayat,アウェイアット
atthe,アットザ
thebench,ザベンチ
morein,モアイン
claiming,シーエルエイミング
aimingit,エイミングイット
Besttools,ベストツゥールズ
toolsfor,ツゥールズフォー
forthe,フォーザ
容量化,ヨウリョウカ
データ向け,データムケ
向け急伸,ムケキュウシン
回欠席,カイケッセキ
学群,ガクグン
学域,ガクイキ
学環,ガクタマキ
毎年前年,マイトシゼンネン
最適長,サイテキチョウ
論文長,ロンブンチョウ
皆最小,ミナサイショウ
最小値,サイショウチ
値付近,チフキン
情報系,ジョウホウケイ
系専攻,ケイセンコウ
最低限ライン,サイテイゲンライン
オンライングラフ,オンライングラフ
グラフ化,グラフカ
毎日作業,マイニチサギョウ
卒論修論,ソツロンシュウロン
最小限努力,サイショウゲンドリョク
onSC,オンエスシィ
SCis,エスシィイズ
最適化能力,サイテキカノウリョク
理論的,リロンテキ
公表基準,コウヒョウキジュン
履修内容,リシュウナイヨウ
象徴的,ショウチョウテキ
評価方法,ヒョウカホウホウ
博士審査,ハカセシンサ
最適化能力,サイテキカノウリョク
前職,マエショク
人が全体,ジンガゼンタイ
全体会議,ゼンタイカイギ
公開質問,コウカイシツモン
明確化,メイカクカ
定量化,テイリョウカ
皆さん頭,ミナサンアタマ
特化,トクカ
研究組織,ケンキュウソシキ
重要性,ジュウヨウセイ
outits,アウトアイティエス
itsXeon,アイティエスジーオン
allthe,アルバニアレクザ
TSX対応,ティーエスエックスタイオウ
tocapture,トゥキャプチャー
beinglong tail,ビーイングロングテイル
Wranglerand,ラングラーアンド
andComet,アンドコメット
HPCvia,エイチピーシービア
hiscode,ヒズコード
forbug,フォーバグ
stillimpressive,スティルインプレッシブ
impressivefor,インプレッシブフォー
fora,フォーアール
リー・シェンロン首相,リーシェンロンシュショウ
数独ソル,スウドクソル
ソルバー,ソルバー
普通にコンパイル,フツウニコンパイル
シンガポール首相,シンガポールシュショウ
科学技術政策,カガクギジュツセイサク
政策研究所,セイサクケンキュウジョ
対象範囲,タイショウハンイ
公務員組織,コウムインソシキ
行政ライン,ギョウセイライン
文科省組織,モンカショウソシキ
組織図,ソシキズ
参考知識,サンコウチシキ
設置者,セッチシャ
流動化,リュウドウカ
最小化,サイショウカ
年齢層,ネンレイソウ
任期付き,ニンキツキ
付き雇用,ツキコヨウ
研究会用,ケンキュウカイヨウ
査読予稿,サドクヨコウ
査読論文,サドクロンブン
manuscript,マヌスクリプト
電子情報通信,デンシジョウホウツウシン
情報通信学会誌,ジョウホウツウシンガッカイシ
学会誌5月,ガッカイシゴガツ
5月号,ゴガツゴウ
巻頭言,カントウゲン
桑原秀夫,クワバラヒデオ
研究会発表,ケンキュウカイハッピョウ
発表済み,ハッピョウズミ
中国SIM,チュウゴクエスアイエム
VPN経由,ヴィピーエヌケイユ
携帯アカウント,ケイタイアカウント
中国SIM,チュウゴクエスアイエム
中国SIM,チュウゴクエスアイエム
wifiAP,ワイファイエイピー
日本SIM,ニッポンエスアイエム
軍事要塞,グンジヨウサイ
喜連川さん,キツレガワサン
学術論文,ガクジュツロンブン
論文検索,ロンブンケンサク
検索クラウド,ケンサククラウド
著作権制度,チョサクケンセイド
コンテンツ全般,コンテンツゼンパン
スーツケース多数,スーツケースタスウ
%皆さん,パーセントミナサン
皆さん行楽,ミナサンコウラク
行楽モード,コウラクモード
出張モード,シュッチョウモード
研究者,ケンキュウシャ
年度末,ネンドマツ
周連続,シュウレンゾク
連続往復,レンゾクオウフク
週連続,シュウレンゾク
事務手続き,ジムテツヅキ
オーバーコンプライアンス,オーバーコンプライアンス
書類手続き,ショルイテツヅキ
研究者,ケンキュウシャ
チェックシャツ,チェックシャツ
シャツ着用,シャツチャクヨウ
以後マーク,イゴマーク
ニセ理系,ニセリケイ
理系バー,リケイバー
raikage48,ライクエイジフォーティーエイト
トランクTシャツ,トランクティーシャツ
Tシャツサンダル,ティーシャツサンダル
ツイードジャケット,ツイードジャケット
ボウタイ,ボウタイ
理系バー,リケイバー
所非常,トコロヒジョウ
ニセ理系,ニセリケイ
理系バー,リケイバー
ニセ理系,ニセリケイ
理系バー,リケイバー
回以上,カイイジョウ
ニセ理系,ニセリケイ
理系バー,リケイバー
ニセ理系,ニセリケイ
理系バー,リケイバー
理系バー,リケイバー
電力事業,デンリョクジギョウ
効率向上,コウリツコウジョウ
火力並み,カリョクナミ
発電米国,ハツデンベイコク
理系バー,リケイバー
電力貯蔵,デンリョクチョゾウ
6月号,ロクガツゴウ
イーロン・マスク氏,イーロンマスクシ
一歩,イチホ
送電端,ソウデンタン
端効率,タンコウリツ
才能躍如,サイノウヤクジョ
mainstream,メインストリーム
outin,アウトイン
inthe,インザ
coreprogram,コアプログラム
programming,プログラムミング
justfor,ジャストフォー
forHPC,フォーエイチピーシー
forpersona,フォーペルソナ
personal,ペルソナリットル
Itis,イットイズ
thatGCC,ザットジーシーシー
GCChas,ジーシーシーハス
hasstarted,ハススターテッド
2.0a,ニーテンゼロアール
aand,アールアンド
andOpenMP,アンドオープンエムピー
脱力ニュース,ダツリョクニュース
脱線ニュース,ダッセンニュース
脱力ニュース,ダツリョクニュース
壁かけソーラー,カベカケソーラー
ソーラー電池,ソーラーデンチ
2015年4月24日,ニセンジュウゴネンシガツニジュウヨッカ
情報学教育,ジョウホウガクキョウイク
Radeon統合,レイディオントウゴウ
ハード的,ハードテキ
さそう,サソウ
x86部分,エックスハチロクブブン
メニーコア部分,メニーコアブブン
ソフトウェア群,ソフトウェアグン
辺り色,アタリショク
FPU的,エフピーユーテキ
チャンネル数,チャンネルスウ
APU統合,エーピーユートウゴウ
isthe,アイエスザ
thekeyboard,ザキーボード
コア版,コアバン
Japanare,ジャパンアレ
inthe,インザ
グローバルな大学,グローバルナダイガク
大学選び,ダイガクエラビ
この間ワシントンDC,コノカンワシントンディーシー
入国手続,ニュウコクテツヅキ
回目,カイメ
回目,カイメ
目以降,メイコウ
パスポート確認,パスポートカクニン
写真撮影,シャシンサツエイ
並列化,ヘイレツカ
初回入国者,ショカイニュウコクシャ
ある意味ESTA,アルイミエスタ
二回,ニカイ
回目,カイメ
目以降,メイコウ
以降米国,イコウベイコク
高速化,コウソクカ
基本米国,キホンベイコク
米国国民,ベイコクコクミン
KIOSK端末,キヨスクタンマツ
数分,スウフン
talkby,トークビーワイ
bymy,ビーワイマイ
myold,マイオールド
oldfriend,オールドフレンド
friendEd,フレンドエディション
changesin,チェンジズイン
日本向け,ニッポンムケ
広告事業,コウコクジギョウ
地上波放送決定,チジョウハホウソウケッテイ
リニューアル版,リニューアルバン
リニューアル版,リニューアルバン
日本国内放送権,ニホンコクナイホウソウケン
Altairhas,アルテアハス
OEMagreement,オーイーエムアグリメント
agreementw/,アグリメントダブリュースラッシュ
w/now,ダブリュースラッシュナウ
nowPBS,ナウピービーエス
申し訳ありません,モウシワケアリマセン
論文発表,ロンブンハッピョウ
最終目標,サイシュウモクヒョウ
科学者達,カガクシャタチ
評価システム,ヒョウカシステム
ダメ評価,ダメヒョウカ
評価システム,ヒョウカシステム
システム組織,システムソシキ
評価システム,ヒョウカシステム
評価システム,ヒョウカシステム
人材流動性,ジンザイリュウドウセイ
評価システム,ヒョウカシステム
典型的大企業,テンケイテキダイキギョウ
経営陣,ケイエイジン
課長以下,カチョウイカ
従業員重視,ジュウギョウインジュウシ
長期経営,チョウキケイエイ
欧米企業,オウベイキギョウ
社員同士,シャインドウシ
勤務評価,キンムヒョウカ
Cryingin,クライングイン
inRage,インレイジ
thatthe,ザットザ
theresearch,ザリサーチ
researcher,リサーチイーアール
eris,イーアールイズ
assaid,アズサイード
isthat,アイエスザット
thatthe,ザットザ
theinter,ザインテル
interconnect,インテルコネクト
connectperforma,コネクトパフォーマ
performanc,パフォーマエヌシー
nce+,エヌシーイープラス
GPUvia,ジーピーユービア
theXeon,ザジーオン
aloneis,アローンアイエス
hehas,ヒーハス
ideaabout,アイデアアバウト
aboutreal,アバウトレアル
realHPC,レアルエイチピーシー
withPleiades,ウィズプレアデス
TH2has,トゥハートツーハス
%more,パーセントモア
学期細切れ,ガッキコマギレ
2016年度,ニセンジュウロクネンド
学期制,ガッキセイ
制導入,セイドウニュウ
KNOPPIX日本語版,クノーピクスニホンゴバン
研究レベル,ケンキュウレベル
課題解決,カダイカイケツ
処理アーキテクチャ,ショリアーキテクチャ
全く同意,ゼンクドウイ
ゲノム解析,ゲノムカイセキ
解析分野,カイセキブンヤ
実装レベル,ジッソウレベル
大変参考,タイヘンサンコウ
さんら,サンラ
nowMt. Fuji,ナウマウントフジ
ina,インアール
無線サービス,ムセンサービス
TokyoTech,トウキョウテック
大学食堂,ダイガクショクドウ
利用方法,リヨウホウホウ
方法等,ホウホウトウ
ステルス性,ステルスセイ
囮役,オトリヤク
刺し網,サシモウ
